,_time,id,count,Date,Time
266,2023-09-18 14:05:00+00:00,line_1,,2023-09-18,14:05:00
267,2023-09-18 14:10:00+00:00,line_1,,2023-09-18,14:10:00
268,2023-09-18 14:15:00+00:00,line_1,,2023-09-18,14:15:00
269,2023-09-18 14:20:00+00:00,line_1,,2023-09-18,14:20:00
270,2023-09-18 14:25:00+00:00,line_1,,2023-09-18,14:25:00
271,2023-09-18 14:30:00+00:00,line_1,,2023-09-18,14:30:00
272,2023-09-18 14:35:00+00:00,line_1,,2023-09-18,14:35:00
273,2023-09-18 14:40:00+00:00,line_1,,2023-09-18,14:40:00
274,2023-09-18 14:45:00+00:00,line_1,,2023-09-18,14:45:00
275,2023-09-18 14:50:00+00:00,line_1,,2023-09-18,14:50:00
276,2023-09-18 14:55:00+00:00,line_1,,2023-09-18,14:55:00
277,2023-09-18 15:00:00+00:00,line_1,,2023-09-18,15:00:00
278,2023-09-18 15:05:00+00:00,line_1,,2023-09-18,15:05:00
279,2023-09-18 15:10:00+00:00,line_1,,2023-09-18,15:10:00
280,2023-09-18 15:15:00+00:00,line_1,,2023-09-18,15:15:00
281,2023-09-18 15:20:00+00:00,line_1,,2023-09-18,15:20:00
282,2023-09-18 15:25:00+00:00,line_1,,2023-09-18,15:25:00
283,2023-09-18 15:30:00+00:00,line_1,,2023-09-18,15:30:00
284,2023-09-18 15:35:00+00:00,line_1,,2023-09-18,15:35:00
285,2023-09-18 15:40:00+00:00,line_1,,2023-09-18,15:40:00
286,2023-09-18 15:45:00+00:00,line_1,,2023-09-18,15:45:00
287,2023-09-18 15:50:00+00:00,line_1,,2023-09-18,15:50:00
288,2023-09-18 15:55:00+00:00,line_1,,2023-09-18,15:55:00
289,2023-09-18 16:00:00+00:00,line_1,,2023-09-18,16:00:00
290,2023-09-18 16:05:00+00:00,line_1,,2023-09-18,16:05:00
291,2023-09-18 16:10:00+00:00,line_1,,2023-09-18,16:10:00
292,2023-09-18 16:15:00+00:00,line_1,,2023-09-18,16:15:00
293,2023-09-18 16:20:00+00:00,line_1,,2023-09-18,16:20:00
294,2023-09-18 16:25:00+00:00,line_1,,2023-09-18,16:25:00
295,2023-09-18 16:30:00+00:00,line_1,,2023-09-18,16:30:00
296,2023-09-18 16:35:00+00:00,line_1,,2023-09-18,16:35:00
297,2023-09-18 16:40:00+00:00,line_1,,2023-09-18,16:40:00
298,2023-09-18 16:45:00+00:00,line_1,,2023-09-18,16:45:00
299,2023-09-18 16:50:00+00:00,line_1,,2023-09-18,16:50:00
300,2023-09-18 16:55:00+00:00,line_1,,2023-09-18,16:55:00
301,2023-09-18 17:00:00+00:00,line_1,,2023-09-18,17:00:00
302,2023-09-18 17:05:00+00:00,line_1,,2023-09-18,17:05:00
303,2023-09-18 17:10:00+00:00,line_1,,2023-09-18,17:10:00
304,2023-09-18 17:15:00+00:00,line_1,,2023-09-18,17:15:00
305,2023-09-18 17:20:00+00:00,line_1,,2023-09-18,17:20:00
306,2023-09-18 17:25:00+00:00,line_1,,2023-09-18,17:25:00
307,2023-09-18 17:30:00+00:00,line_1,,2023-09-18,17:30:00
308,2023-09-18 17:35:00+00:00,line_1,,2023-09-18,17:35:00
309,2023-09-18 17:40:00+00:00,line_1,,2023-09-18,17:40:00
310,2023-09-18 17:45:00+00:00,line_1,,2023-09-18,17:45:00
311,2023-09-18 17:50:00+00:00,line_1,,2023-09-18,17:50:00
312,2023-09-18 17:55:00+00:00,line_1,,2023-09-18,17:55:00
313,2023-09-18 18:00:00+00:00,line_1,,2023-09-18,18:00:00
314,2023-09-18 18:05:00+00:00,line_1,,2023-09-18,18:05:00
315,2023-09-18 18:10:00+00:00,line_1,,2023-09-18,18:10:00
316,2023-09-18 18:15:00+00:00,line_1,,2023-09-18,18:15:00
317,2023-09-18 18:20:00+00:00,line_1,,2023-09-18,18:20:00
318,2023-09-18 18:25:00+00:00,line_1,,2023-09-18,18:25:00
319,2023-09-18 18:30:00+00:00,line_1,,2023-09-18,18:30:00
320,2023-09-18 18:35:00+00:00,line_1,,2023-09-18,18:35:00
321,2023-09-18 18:40:00+00:00,line_1,,2023-09-18,18:40:00
322,2023-09-18 18:45:00+00:00,line_1,,2023-09-18,18:45:00
323,2023-09-18 18:50:00+00:00,line_1,,2023-09-18,18:50:00
324,2023-09-18 18:55:00+00:00,line_1,,2023-09-18,18:55:00
325,2023-09-18 19:00:00+00:00,line_1,,2023-09-18,19:00:00
326,2023-09-18 19:05:00+00:00,line_1,,2023-09-18,19:05:00
327,2023-09-18 19:10:00+00:00,line_1,,2023-09-18,19:10:00
328,2023-09-18 19:15:00+00:00,line_1,,2023-09-18,19:15:00
329,2023-09-18 19:20:00+00:00,line_1,,2023-09-18,19:20:00
330,2023-09-18 19:25:00+00:00,line_1,,2023-09-18,19:25:00
331,2023-09-18 19:30:00+00:00,line_1,,2023-09-18,19:30:00
332,2023-09-18 19:35:00+00:00,line_1,,2023-09-18,19:35:00
333,2023-09-18 19:40:00+00:00,line_1,,2023-09-18,19:40:00
334,2023-09-18 19:45:00+00:00,line_1,,2023-09-18,19:45:00
335,2023-09-18 19:50:00+00:00,line_1,,2023-09-18,19:50:00
336,2023-09-18 19:55:00+00:00,line_1,,2023-09-18,19:55:00
337,2023-09-18 20:00:00+00:00,line_1,,2023-09-18,20:00:00
338,2023-09-18 20:05:00+00:00,line_1,,2023-09-18,20:05:00
339,2023-09-18 20:10:00+00:00,line_1,,2023-09-18,20:10:00
340,2023-09-18 20:15:00+00:00,line_1,,2023-09-18,20:15:00
341,2023-09-18 20:20:00+00:00,line_1,,2023-09-18,20:20:00
342,2023-09-18 20:25:00+00:00,line_1,,2023-09-18,20:25:00
343,2023-09-18 20:30:00+00:00,line_1,,2023-09-18,20:30:00
344,2023-09-18 20:35:00+00:00,line_1,,2023-09-18,20:35:00
345,2023-09-18 20:40:00+00:00,line_1,,2023-09-18,20:40:00
346,2023-09-18 20:45:00+00:00,line_1,,2023-09-18,20:45:00
347,2023-09-18 20:50:00+00:00,line_1,,2023-09-18,20:50:00
348,2023-09-18 20:55:00+00:00,line_1,,2023-09-18,20:55:00
349,2023-09-18 21:00:00+00:00,line_1,,2023-09-18,21:00:00
350,2023-09-18 21:05:00+00:00,line_1,,2023-09-18,21:05:00
351,2023-09-18 21:10:00+00:00,line_1,,2023-09-18,21:10:00
352,2023-09-18 21:15:00+00:00,line_1,,2023-09-18,21:15:00
353,2023-09-18 21:20:00+00:00,line_1,,2023-09-18,21:20:00
354,2023-09-18 21:25:00+00:00,line_1,,2023-09-18,21:25:00
355,2023-09-18 21:30:00+00:00,line_1,,2023-09-18,21:30:00
356,2023-09-18 21:35:00+00:00,line_1,,2023-09-18,21:35:00
357,2023-09-18 21:40:00+00:00,line_1,,2023-09-18,21:40:00
